curve_idx,target,amp_score,cq,cycle_no,rn,drn,Fn,pcr_plate,sample_type,igi_call
35007,MS2,2.620004074594556,19.950901632883657,16,217155.671875,553.402972027965,217155.67,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,17,217605.859375,1005.1603474650328,217605.86,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,18,218303.890625,1704.7614729021006,218303.89,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,19,218649.40625,2051.8469733391685,218649.4,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,20,219932.328125,3336.3387237762363,219932.33,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,21,222308.03125,5713.611724213275,222308.03,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,22,226572.9375,9980.087849650345,226572.94,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,23,233331.609375,16740.32960008741,233331.61,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,24,244963.75,28374.04010052448,244963.75,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,25,264560.65625,47972.516225961546,264560.66,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,26,293366.75,76780.17985139861,293366.75,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,27,331784.90625,115199.90597683564,331784.9,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,28,376576.25,159992.8196022727,376576.25,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,29,423055.5625,206473.70197770977,423055.56,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,30,467150.09375,250569.80310314684,467150.1,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,31,506274.9375,289696.2167285839,506274.94,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,32,538529.875,321952.724104021,538529.9,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,33,565949.875,349374.29397945805,565949.9,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,34,587099.125,370525.1138548951,587099.1,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,35,603756.0,387183.5587303322,603756.0,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,36,617011.0,400440.1286057693,617011.0,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,37,627759.0625,411189.7609812063,627759.06,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,38,636147.0,419579.2683566434,636147.0,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,39,643214.8125,426648.6507320804,643214.8,AC00DBJZ,Clinical Sample,Positive
35007,MS2,2.620004074594556,19.950901632883657,40,648732.4375,432167.8456075175,648732.44,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,1,219395.84375,-1471.8955357142977,219395.84,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,2,219467.984375,-1475.6008928571382,219467.98,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,3,220342.296875,-677.1343750000078,220342.3,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,4,220984.859375,-110.41785714284828,220984.86,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,5,221268.0625,96.93928571428212,221268.06,AC00DBJZ,Clinical Sample,Positive
