"","well_position","cycle_no","target","rn","drn","amp_status","amp_score","cq","auto_threshold","threshold","baseline_start","baseline_end","file","dilution_level","covid_variant","Fn"
"118","A1",28,"N gene",801441.0625,677188.9497,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",801441.06
"119","A1",29,"N gene",839943.6875,715365.5808,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",839943.7
"120","A1",30,"N gene",869520.5,744616.3994,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",869520.5
"121","A1",31,"N gene",896902.75,771672.6556,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",896902.75
"122","A1",32,"N gene",916313.25,790757.1617,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",916313.25
"123","A1",33,"N gene",934570.9375,808688.8553,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",934570.94
"124","A1",34,"N gene",948002.25,821794.1739,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",948002.25
"125","A1",35,"N gene",958224.625,831690.555,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",958224.6
"126","A1",36,"N gene",965734.75,838874.6862,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",965734.75
"127","A1",37,"N gene",972460.0625,845274.0048,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",972460.06
"128","A1",38,"N gene",980593.75,853081.6984,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",980593.75
"129","A1",39,"N gene",986965.4375,859127.392,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",986965.44
"130","A1",40,"N gene",990313.6875,862149.6481,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",990313.7
"131","A1",41,"N gene",994101.9375,865611.9043,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",994101.94
"132","A1",42,"N gene",1000006.5,871190.4729,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",1000006.5
"133","A1",43,"N gene",1001831.75,872689.729,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",1001831.75
"134","A1",44,"N gene",1003405.125,873937.1101,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",1003405.1
