Well,Well Position,Cycle Number,ATTO 647,VIC,FAM
6,A6,21,20005.219,354036.66,125552.414
6,A6,22,20026.705,354051.03,125700.84
6,A6,23,20083.652,354712.6,125671.41
6,A6,24,20666.59,354942.75,125569.89
6,A6,25,21287.674,354845.22,125711.02
6,A6,26,22540.697,354806.94,125849.13
6,A6,27,25085.824,355144.12,125768.35
6,A6,28,29909.52,355185.44,125813.99
6,A6,29,38699.094,355073.16,125942.266
6,A6,30,54350.3,355130.03,126173
6,A6,31,79056.516,355289.84,126462.99
6,A6,32,112468.51,355251.4,128223.04
6,A6,33,154613.88,355401.03,131673.02
6,A6,34,200452.27,355515,138440.38
6,A6,35,236106.73,355318.8,148058.89
6,A6,36,259256.8,355246.62,159714.56
6,A6,37,275231.8,355647.3,171040.45
6,A6,38,287603.3,355984.3,181662.81
6,A6,39,297694.72,356319.78,190859.5
6,A6,40,306466.47,356339.4,199394.27
6,A6,41,314518.1,356613.72,207731.86
6,A6,42,321891.3,356572.9,215699.36
6,A6,43,328678.22,356733.12,224104.86
6,A6,44,334662.7,357179.72,232722.42
6,A6,45,339807.1,357615.28,239582
7,A7,1,17637.107,350519.38,118327.76
7,A7,2,17604.34,350592.8,118309.195
7,A7,3,17632.195,350263.97,118303.375
7,A7,4,17805.578,350275.12,118242.56
7,A7,5,17789.578,350696.4,118118.33
7,A7,6,17749.111,350743.78,118172.61
7,A7,7,17756.729,350762.84,118485.945
7,A7,8,17776.646,350898.6,118434.56
7,A7,9,17963.293,351042,118452.32
7,A7,10,18035.572,350962,118842.29
7,A7,11,18007.68,350852.47,119051.13
7,A7,12,18043.688,350758.84,119119.25
7,A7,13,18036.695,350713.44,119213.375
7,A7,14,18136.143,350883.53,119334.73
7,A7,15,18123.883,351209.6,119290.95
7,A7,16,18201.111,351530.88,119290.93
7,A7,17,18303.479,352001.88,119429.14
7,A7,18,18279.959,351984.22,119456.86
7,A7,19,18325.363,351851.1,119735.12
7,A7,20,18258.6,351889.75,120168.68
7,A7,21,18235.605,352195.3,120334.664
7,A7,22,18439.79,352587.4,120242.21
7,A7,23,18463.732,352919.56,120449.16
7,A7,24,18595.316,353219.4,121511.305
7,A7,25,18653.768,354184.28,122792.72
7,A7,26,18664.895,355528.2,125297.305
7,A7,27,18618.344,357731.7,130216.25
7,A7,28,18775.99,363149.8,140067.1
7,A7,29,19163.348,372457.34,157998.98
7,A7,30,19408.434,390667.3,190280.22
7,A7,31,20017.139,420119.25,242287.1
7,A7,32,20904.586,457841.9,310188.53
7,A7,33,22016.242,495447.9,384872.72
7,A7,34,23083.055,523537.6,460514.25
7,A7,35,24247.994,544035.8,530734.9
7,A7,36,25506.287,560219.6,593355.56
7,A7,37,26557.992,573618.2,646989.56
7,A7,38,27332.34,584354.94,693876.1
7,A7,39,28209.924,592817.1,734922.3
7,A7,40,29141.928,600856.8,768248.1
7,A7,41,30077.928,607192.5,797834.25
7,A7,42,30794.338,612883.7,822579.9
7,A7,43,31466.795,618747.25,844321.8
7,A7,44,32345.916,623497.75,863561.7
7,A7,45,33010.03,626983,878769.7
8,A8,1,-2833.0542,1072.4218,-15503.485
8,A8,2,-2814.436,1120.7458,-15452.496
8,A8,3,-2548.1318,885.074,-14947.196
8,A8,4,-2285.5051,836.77563,-14568.231
8,A8,5,-2305.3967,947.6374,-14329.687
8,A8,6,-2374.5757,1060.3,-14276.232
8,A8,7,-2359.9373,1060.1113,-14164.865
8,A8,8,-2299.7378,1099.1632,-14318.839
8,A8,9,-2259.6152,1079.2926,-14356.759
8,A8,10,-2269.1787,1117.2339,-14024.955
8,A8,11,-2258.248,1212.6995,-13976.745
8,A8,12,-2312.827,1298.9215,-13736.591
8,A8,13,-2305.7883,1294.3475,-13592.332
8,A8,14,-2221.7156,1153.0854,-13676.572
8,A8,15,-2268.2605,1110.3684,-13698.854
8,A8,16,-2323.259,1220.2668,-13642.535
8,A8,17,-2265.3625,1195.8809,-13313.394
8,A8,18,-2239.7388,1114.1694,-13256.093
8,A8,19,-2173.8599,916.2783,-13320.769
8,A8,20,-2323.1887,914.34534,-13285.39
8,A8,21,-2400.8516,1123.5665,-13203.793
8,A8,22,-2327.2976,1045.3588,-13198.031
8,A8,23,-2273.2446,986.4194,-12830.13
8,A8,24,-2300.6296,998.06744,-12868.0625
8,A8,25,-2195.1243,969.79004,-12992.726
8,A8,26,-2067.3672,968.14325,-13055.541
8,A8,27,-2160.7542,1010.56635,-12929.079
8,A8,28,-2249.2812,937.74506,-12604.838
8,A8,29,-2227.2256,945.3021,-12625.119
8,A8,30,-2103.1882,1135.5956,-12719.973
8,A8,31,-1970.9583,1168.4373,-12806.211
8,A8,32,-2058.308,1275.3848,-12575.623
8,A8,33,-2142.1448,1320.1722,-12339.411
8,A8,34,-2118.3433,1268.2573,-11892.814
8,A8,35,-2094.7307,1228.6235,-11851.17
8,A8,36,-1950.8608,1246.6344,-11761.714
8,A8,37,-2077.9607,1499.0526,-11578.848
8,A8,38,-2134.101,1457.0143,-11548.59
8,A8,39,-1993.9465,1347.4336,-11486.686
8,A8,40,-2169.6313,1343.303,-11561.187
8,A8,41,-2254.1562,1600.8324,-11374.308
8,A8,42,-2118.3596,1585.9644,-11399.9795
8,A8,43,-1966.038,1414.9825,-11237.071
8,A8,44,-1865.2444,1308.5463,-11220.455
8,A8,45,-1924.6932,1246.3696,-11394.424
9,A9,1,14607.787,330681.7,105600.11
9,A9,2,14572.381,330546.7,105741.56
9,A9,3,14515.154,330446.47,106496.625
9,A9,4,14530.977,330565.72,106620.44
9,A9,5,14667.395,330442.4,106784.36
9,A9,6,14770.956,330186.16,107029.68
9,A9,7,14791.929,329594.4,107051.81
9,A9,8,14928.018,329474.72,107189.74
9,A9,9,14873.353,329623.1,107287.055
9,A9,10,14829.365,329946.16,107247.54
9,A9,11,14920.305,330356,107408.87
9,A9,12,14980.849,330365.62,107466.38
9,A9,13,14988.55,330315.66,107703.9
9,A9,14,14994.929,330358.2,107709.07
9,A9,15,14993.727,330825.25,107893.24
9,A9,16,15169.052,331110.1,107842.94
9,A9,17,15175.776,331071.3,108016.49
9,A9,18,15155.999,331175.5,108581.086
9,A9,19,15236.879,331435.6,108829.04
9,A9,20,15326.42,331522.97,108828.82
9,A9,21,15356.85,331725.75,108940.805
9,A9,22,15341.721,331825.75,109003.4
9,A9,23,15317.785,331863,109324.16
9,A9,24,15479.41,332064.7,109998.02
9,A9,25,15455.582,333055.88,111168.6
9,A9,26,15505.871,334192.62,113481.83
9,A9,27,15662.16,336291.5,118574.96
9,A9,28,15666.144,340688.03,127573.72
9,A9,29,15549.707,350008.53,144719.36
9,A9,30,15542.049,368063.97,175642.55
9,A9,31,15900.729,398264.62,226870.17
9,A9,32,15988.75,438302.5,296329.47
9,A9,33,16173.294,480699.7,372987.88
9,A9,34,16276.855,513599.56,451446.8
9,A9,35,16262.444,536037.2,525497.6
9,A9,36,16375.453,552955.2,589586.75
9,A9,37,16326.994,567288.2,643249.2
9,A9,38,16374.386,576967.5,686468.56
9,A9,39,16614.39,584052.7,722569.44
9,A9,40,16774.682,591572.75,753153.06
9,A9,41,16811.184,598316.6,778244.8
9,A9,42,16749.52,602581.06,800236.56
9,A9,43,16827.816,606623.6,816850.6
9,A9,44,16959.799,610303.56,831356.1
9,A9,45,16952.04,613430.94,843920.06
10,A10,1,-933.6333,170.51784,-12746.304
10,A10,2,-1028.9968,162.28926,-12683.134
10,A10,3,-1057.6305,116.138565,-12549.462
10,A10,4,-919.5717,102.568924,-12332.716
10,A10,5,-881.48535,197.63844,-12343.264
10,A10,6,-893.5028,141.16653,-12410.401
10,A10,7,-879.542,-38.76211,-12416.932
10,A10,8,-991.67676,-78.053406,-12168.3
