D Init,Timestep,D Cur
1.2476595526308684e-06,8,0.0003194008448242736692493480517
1.2476595526308684e-06,9,0.0006388016883449980713321937379
1.2476595526308684e-06,10,0.001277603371475799121050250814
1.2476595526308684e-06,11,0.002555206722094810534103100228
1.2476595526308684e-06,12,0.005110413360762473256224095571
1.2476595526308684e-06,13,0.01022082638781637942406808057
1.2476595526308684e-06,14,0.02044165144079868377211599500
1.2476595526308684e-06,15,0.04088329754226261345794158489
1.2476595526308684e-06,16,0.08176657372719858030627074621
1.2476595526308684e-06,17,0.1635330620251895318994240939
1.2476595526308684e-06,18,0.3270657823343402082385646473
1.2476595526308684e-06,19,0.6541301978108582283226093936
1.2476595526308684e-06,20,1.308254928241092932776154956
1.2476595526308684e-06,21,2.616487987365003297214313101
1.2476595526308684e-06,22,5.232888501503603702349653413
1.2476595526308684e-06,23,10.46542713603757782585590971
1.2476595526308684e-06,24,20.92945501164231028222790758
1.2476595526308684e-06,25,41.85331464044401501718110202
1.2476595526308684e-06,26,83.68426100986831878616884029
1.2476595526308684e-06,27,167.2791548461900848326195381
1.2476595526308684e-06,28,334.2016855375086516856527063
1.2476595526308684e-06,29,666.9835871812432762945785397
1.2476595526308684e-06,30,1328.341053570390607525335512
1.2476595526308684e-06,31,2634.591072025835612419021621
1.2476595526308684e-06,32,5183.964539519070623792199923
1.2476595526308684e-06,33,10049.92809140877236475050273
1.2476595526308684e-06,34,18980.93313503636151266132842
1.2476595526308684e-06,35,34381.21402801342639406043308
1.2476595526308684e-06,36,58740.36218133448353431892567
1.2476595526308684e-06,37,93585.02265782186948515273173
1.2476595526308684e-06,38,138743.7186155325586769836895
1.2476595526308684e-06,39,192508.0358003498700901948489
1.2476595526308684e-06,40,252340.1629469706090527428285
1.2476595526308684e-06,41,315537.3648982814895038489429
1.2476595526308684e-06,42,379632.4438087649926012887184
1.2476595526308684e-06,43,442572.0398605599730381982852
1.2476595526308684e-06,44,502763.6720645349526504949155
1.2476595526308684e-06,45,559056.4040070384244870132784
1.2476595526308684e-06,46,610691.5396852930955156225445
1.2476595526308684e-06,47,657242.2356396610894991533487
1.2476595526308684e-06,48,698551.6233112789979006982478
1.2476595526308684e-06,49,734674.2722732526641037026635
1.2476595526308684e-06,50,765823.3476291546446547679398
1.28264983052806e-06,0,0.000001282649830528059959670298013911793333363675628788769245147705078125
1.28264983052806e-06,1,0.000002565299661035098058208139442
1.28264983052806e-06,2,0.000005130599321986108671887141612
1.28264983052806e-06,3,0.00001026119864363586705260331451
1.28264983052806e-06,4,0.00002052239728592633386407473278
1.28264983052806e-06,5,0.00004104479456647106655875071290
1.28264983052806e-06,6,0.00008208958911141572844272885648
1.28264983052806e-06,7,0.0001641791781367258373880510752
1.28264983052806e-06,8,0.0003283583559290291989372619855
1.28264983052806e-06,9,0.0006567167104803685005612702651
1.28264983052806e-06,10,0.001313433415449977462833248012
1.28264983052806e-06,11,0.002626866808856917183371341751
1.28264983052806e-06,12,0.005253733529541686678679039983
1.28264983052806e-06,13,0.01050746670639480885508930911
1.28264983052806e-06,14,0.02101493200203556970034779924
1.28264983052806e-06,15,0.04202985836105662735177663537
1.28264983052806e-06,16,0.08405969415006864642012764110
1.28264983052806e-06,17,0.1681192980120663788271249707
1.28264983052806e-06,18,0.3362382348727092517585382890
1.28264983052806e-06,19,0.6724750251466056362214764934
1.28264983052806e-06,20,1.344944271953008334278957464
1.28264983052806e-06,21,2.689865430985581655920956161
1.28264983052806e-06,22,5.379638413812253062616366346
1.28264983052806e-06,23,10.75890706316855799644122502
1.28264983052806e-06,24,21.51633529390374922775600229
1.28264983052806e-06,25,43.02675706044392959147026160
1.28264983052806e-06,26,86.02987441834838603271039396
1.28264983052806e-06,27,171.9653050895221024194522660
1.28264983052806e-06,28,343.5537526287955475148469781
1.28264983052806e-06,29,685.6073658966495949412709510
1.28264983052806e-06,30,1365.271734318685128706859248
1.28264983052806e-06,31,2707.220059737590334425341526
1.28264983052806e-06,32,5324.555822594156040848217708
1.28264983052806e-06,33,10314.29266346088754483977919
1.28264983052806e-06,34,19454.05830898921441945636183
1.28264983052806e-06,35,35166.86661274961101900633005
1.28264983052806e-06,36,59925.13492798177591111555987
1.28264983052806e-06,37,95196.54917513115665923054300
1.28264983052806e-06,38,140739.4188128042529939030200
1.28264983052806e-06,39,194797.4092010585405579577929
1.28264983052806e-06,40,254814.9670631159217437880429
1.28264983052806e-06,41,318092.8600155119249812747505
1.28264983052806e-06,42,382178.1364200778389561241020
1.28264983052806e-06,43,445035.5330932013761409040787
1.28264983052806e-06,44,505090.8455394221998854753750
1.28264983052806e-06,45,561209.8519379531095501814371
1.28264983052806e-06,46,612648.2876242493693546534518
1.28264983052806e-06,47,658991.2564390698206323637700
1.28264983052806e-06,48,700091.4156853138232267654562
1.28264983052806e-06,49,736010.6330718245564529641475
1.28264983052806e-06,50,766967.3988314424488900273811
1.3186214013947485e-06,0,0.000001318621401394748466622702277872836162941894144751131534576416015625
1.3186214013947485e-06,1,0.000002637242802767279481253304439
1.3186214013947485e-06,2,0.000005274485605445688890814676817
1.3186214013947485e-06,3,0.00001054897121053589749486761490
1.3186214013947485e-06,4,0.00002109794241964987373724647879
1.3186214013947485e-06,5,0.00004219588483361206246492128191
1.3186214013947485e-06,6,0.00008439176964447338489462248820
1.3186214013947485e-06,7,0.0001687835391979438096728976906
1.3186214013947485e-06,8,0.0003375670780318757805957222236
1.3186214013947485e-06,9,0.0006751341546077042131623381151
1.3186214013947485e-06,10,0.001350268303391219090652875244
1.3186214013947485e-06,11,0.002700536583485681283829277005
1.3186214013947485e-06,12,0.005401073073784338542949150297
1.3186214013947485e-06,13,0.01080214577482060950809168243
1.3186214013947485e-06,14,0.02160429005864917687092333139
1.3186214013947485e-06,15,0.04320857415333201049697042175
