well_position,cycle_no,target,rn,drn,amp_status,amp_score,cq,auto_threshold,threshold,baseline_start,baseline_end,file,dilution_level,covid_variant,Fn,curve_idx,ct,igi_call,groundtruth_target,Igi_call_quant,igi_fp,igi_fn,split
G11,40,RnaseP,23857.57031,3471.906209,No Amp,1.527178582,Undetermined,False,20000,3,29,dilution,10,Delta,23857.57,229_known,,Negative,1,0,0,1,test
G11,40,E gene,518056.375,165167.2217,Amp,2.504535799,31.28274792,False,8000,3,25,dilution,10,Delta,518056.38,37_known,32.0,Positive,1,1,0,0,test
G11,40,N gene,528035.9375,421588.7102,Amp,2.679527337,30.9347768,False,14000,3,23,dilution,10,Delta,528035.94,133_known,31.0,Positive,1,1,0,0,test
G13,40,RnaseP,21853.41406,553.8139061,No Amp,0.0,Undetermined,False,20000,3,44,dilution,10,Delta,21853.414,230_known,,Negative,1,0,0,1,test
G13,40,E gene,479566.9375,142581.381,Amp,2.469319973,31.48499148,False,8000,3,24,dilution,10,Delta,479566.94,38_known,32.0,Positive,1,1,0,0,test
G13,40,N gene,500955.7188,398071.6485,Amp,2.666618959,30.9781388,False,14000,3,25,dilution,10,Delta,500955.72,134_known,31.0,Positive,1,1,0,0,test
G15,40,RnaseP,20524.52344,443.5926912,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,20524.523,231_known,,Negative,1,0,0,1,test
G15,40,E gene,358903.1875,16822.07599,Inconclusive,2.022737893,36.11436433,False,8000,3,30,dilution,1,Delta,358903.2,39_known,37.0,Positive,1,1,0,0,test
G15,40,N gene,283516.8438,162909.4399,Amp,2.498969502,33.16305262,False,14000,3,25,dilution,1,Delta,283516.84,135_known,34.0,Positive,1,1,0,0,test
G17,40,RnaseP,19594.03711,-118.66579,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,19594.037,232_known,,Negative,1,0,0,1,test
G17,40,E gene,368355.375,37845.1213,Amp,2.199819017,34.6204638,False,8000,3,26,dilution,1,Delta,368355.38,40_known,35.0,Positive,1,1,0,0,test
G17,40,N gene,266549.3438,129830.3067,Amp,2.458359484,33.9390813,False,14000,3,28,dilution,1,Delta,266549.34,136_known,35.0,Positive,1,1,0,0,test
G19,40,RnaseP,20387.58789,-145.508641,No Amp,0.0,Undetermined,False,20000,3,44,dilution,100000,Omicron,20387.588,233_known,,Negative,1,0,0,1,test
G19,40,E gene,640370.125,299308.9994,Amp,2.582692747,18.67266124,False,8000,3,12,dilution,100000,Omicron,640370.1,41_known,19.0,Positive,1,1,0,0,test
G19,40,N gene,912132.875,768979.9679,Amp,2.720089224,18.5898673,False,14000,3,13,dilution,100000,Omicron,912132.9,137_known,19.0,Positive,1,1,0,0,test
G21,40,RnaseP,20676.61914,1805.90156,No Amp,1.538895375,Undetermined,False,20000,3,25,dilution,1000,Omicron,20676.62,234_known,,Negative,1,0,0,1,test
G21,40,E gene,606341.5625,271561.1467,Amp,2.576180536,25.45634308,False,8000,3,17,dilution,1000,Omicron,606341.56,42_known,26.0,Positive,1,1,0,0,test
G21,40,N gene,767535.1875,647097.2532,Amp,2.71657392,25.23611934,False,14000,3,17,dilution,1000,Omicron,767535.2,138_known,26.0,Positive,1,1,0,0,test
G23,40,RnaseP,18270.08398,-19.13627498,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Omicron,18270.084,235_known,,Negative,1,0,0,1,test
G23,40,E gene,371732.125,42675.59983,Amp,2.231771064,34.62209509,False,8000,3,27,dilution,1,Omicron,371732.12,43_known,35.0,Positive,1,1,0,0,test
G23,40,N gene,240867.2344,112858.2188,Amp,2.430105254,34.10642014,False,14000,3,27,dilution,1,Omicron,240867.23,139_known,35.0,Positive,1,1,0,0,test
I1,40,RnaseP,18222.63281,-38.60135011,No Amp,0.0,Undetermined,False,20000,3,44,dilution,100000,Delta,18222.633,239_known,,Negative,1,0,0,1,test
I1,40,E gene,664458.875,322823.5648,Amp,2.605731644,17.67551716,False,8000,3,13,dilution,100000,Delta,664458.9,47_known,18.0,Positive,1,1,0,0,test
I1,40,N gene,981285.4375,860812.4461,Amp,2.769862704,17.28532557,False,14000,3,11,dilution,100000,Delta,981285.44,143_known,18.0,Positive,1,1,0,0,test
I3,40,RnaseP,29628.22852,6692.035067,No Amp,1.69139112,Undetermined,False,20000,3,21,dilution,10000,Delta,29628.229,247_known,,Negative,1,0,0,1,test
I3,40,E gene,669859.625,323260.0055,Amp,2.600464132,20.78992655,False,8000,3,14,dilution,10000,Delta,669859.6,55_known,21.0,Positive,1,1,0,0,test
I3,40,N gene,976298.5625,842442.5702,Amp,2.76490282,20.55544353,False,14000,3,12,dilution,10000,Delta,976298.56,151_known,21.0,Positive,1,1,0,0,test
I5,40,RnaseP,22389.85938,2937.594963,No Amp,1.558823667,Undetermined,False,20000,3,20,dilution,1000,Delta,22389.86,248_known,,Negative,1,0,0,1,test
I5,40,E gene,625100.875,291209.5202,Amp,2.594417592,24.46358177,False,8000,3,16,dilution,1000,Delta,625100.9,56_known,25.0,Positive,1,1,0,0,test
I5,40,N gene,883535.5,775325.216,Amp,2.760024306,24.00156751,False,14000,3,15,dilution,1000,Delta,883535.5,152_known,24.0,Positive,1,1,0,0,test
I7,40,RnaseP,21710.55078,2375.394466,No Amp,1.492050395,Undetermined,False,20000,3,25,dilution,100,Delta,21710.55,249_known,,Negative,1,0,0,1,test
I7,40,E gene,583889.375,247802.3641,Amp,2.521534134,25.14210485,False,8000,3,19,dilution,100,Delta,583889.4,57_known,26.0,Positive,1,1,0,0,test
I7,40,N gene,784207.3125,669984.9457,Amp,2.722485344,23.79497597,False,14000,3,17,dilution,100,Delta,784207.3,153_known,24.0,Positive,1,1,0,0,test
I9,40,RnaseP,50221.76563,32072.01321,Inconclusive,2.08039708,36.30438026,False,20000,3,24,dilution,100,Delta,50221.766,250_known,37.0,Negative,1,0,0,1,test
I9,40,E gene,590088.5,248828.1716,Amp,2.569303595,27.8571318,False,8000,3,20,dilution,100,Delta,590088.5,58_known,28.0,Positive,1,1,0,0,test
I9,40,N gene,780771.625,656481.3936,Amp,2.731123499,27.29281406,False,14000,3,20,dilution,100,Delta,780771.6,154_known,28.0,Positive,1,1,0,0,test
I11,40,RnaseP,23729.99805,1383.427652,No Amp,0.0,Undetermined,False,20000,3,27,dilution,10,Delta,23729.998,240_known,,Negative,1,0,0,1,test
I11,40,E gene,542811.6875,179720.866,Amp,2.515631375,30.88382975,False,8000,3,24,dilution,10,Delta,542811.7,48_known,31.0,Positive,1,1,0,0,test
I11,40,N gene,630145.8125,496295.3688,Amp,2.704119877,30.40016918,False,14000,3,24,dilution,10,Delta,630145.8,144_known,31.0,Positive,1,1,0,0,test
I13,40,RnaseP,27823.21875,49.09714633,No Amp,0.0,Undetermined,False,20000,3,44,dilution,10,Delta,27823.219,241_known,,Negative,1,0,0,1,test
I13,40,E gene,541982.0625,187148.7906,Amp,2.530119201,31.11172625,False,8000,3,24,dilution,10,Delta,541982.06,49_known,32.0,Positive,1,1,0,0,test
I13,40,N gene,604706.875,467224.2007,Amp,2.704514965,30.86234813,False,14000,3,25,dilution,10,Delta,604706.9,145_known,31.0,Positive,1,1,0,0,test
I15,40,RnaseP,20957.27539,-31.20566845,No Amp,0.0,Undetermined,False,20000,3,44,dilution,1,Delta,20957.275,242_known,,Negative,1,0,0,1,test
I15,40,E gene,410064.25,67971.23149,Amp,2.339426993,34.20174429,False,8000,3,26,dilution,1,Delta,410064.25,50_known,35.0,Positive,1,1,0,0,test
